,title,total_sales_USDMM
259,Wild Guns Reloaded,0.07
260,Touhou Kobuto V: Burst Battle,0.06
261,Hunting Simulator,0.02
262,Big Buck Hunter Arcade,0.01
263,Animal Crossing: New Horizons,804.6
264,Overcooked! 2,0.29
265,Harvest Moon: Light of Hope,0.17
266,Little Dragons Café,0.13
267,Farming Simulator 17,0.13
268,Overcooked Special Edition,0.11
269,Bass Pro Shops: The Strike - Championship Edition,0.07
270,Cabela's The Hunt: Championship Edition Bundle,0.07
271,My Riding Stables: Life with Horses,0.05
272,Cats Together,0.02
273,Gal Gun 2,0.02
274,Project Highrise: Architect's Edition,0.02
275,Rapala Fishing Pro Series,0.02
276,Champion Jockey Special,0.01
277,Neo Atlas 1469,0.01
278,This is the Police,0.0
279,Mario Tennis Aces,165.0
280,FIFA 18,1.1
281,FIFA 19,0.75
282,NBA 2K18,0.43
283,Rocket League,0.4
284,NBA 2K19,0.3
285,WWE 2K18,0.23
286,Sports Party,0.17
287,NBA 2K Playgrounds 2,0.14
288,R.B.I. Baseball 18,0.13
289,Pro Yakyuu Famista Evolution,0.12
290,Mutant Football League: Dynasty Edition,0.09
291,R.B.I. Baseball 2017,0.08
292,Tennis World Tour,0.02
293,Crayola Scoot,0.01
294,Winning Post 8 2018,0.01
295,Legendary Fishing,0.01
296,Mario + Rabbids: Kingdom Battle,2.59
297,Sid Meier's Civilization VI,0.25
298,Valkyria Chronicles 4,0.19
299,SD Gundam G Generation Genesis,0.04
300,Nobunaga's Ambition: Sphere of Influence with Power-Up Kit,0.03
301,God Wars The Complete Legend,0.03
302,Nobunaga's Ambition: Taishi,0.01
303,Mercenaries Saga Chronicles,0.01
304,This Is the Police 2,0.01
305,Steins;Gate Elite,0.02
306,Higurashi no Naku Koro ni Hou,0.02
307,Nil Admirari no Tenbin: Irodori Nadeshiko,0.01
308,World End Syndrome,0.01
309,Daitoshokan no Hitsujikai: Library Party,0.0
310,Cendrillon palikA,0.0
311,Hakuoki: Shinkai - Fuukaden,0.0
312,Aokana: Four Rhythm Across the Blue,0.0
313,"Nora, Princess, and Stray Cat",0.0
314,Memories Off: Innocent File,0.0
315,Pokémon Sword,1042.2
